"Kad ali prha v stanovanju";"Starost 0-17";"Spol - SKUPAJ";0.7;0.3;3.8;0.8;0.4;3.6;0.6;0.2;4.2;0.5;0.3;1.8;0.3;0.1;2.5;0.2;0.1;1.2;0.4;0.1;1.7;0.2;0.2;0.5;0.3;0.1;1.7;0.5;0.2;2.1;0.3;0.0;2.2;0.1;0.0;0.8
"Kad ali prha v stanovanju";"Starost 0-17";"Moški";0.6;0.3;3.2;0.6;0.3;3.4;0.6;0.2;4.4;0.7;0.5;1.9;0.3;0.1;2.1;0.3;0.2;1.1;0.3;0.0;2.1;0.2;0.1;1.0;0.3;0.1;1.7;0.5;0.3;2.1;0.4;0.0;2.6;0.1;0.0;0.5
"Kad ali prha v stanovanju";"Starost 0-17";"Ženske";0.9;0.4;4.3;0.9;0.5;3.8;0.6;0.2;3.9;0.3;0.1;1.7;0.3;0.0;2.9;0.2;0.0;1.4;0.4;0.2;1.3;0.2;0.2;0.0;0.3;0.1;1.6;0.4;0.2;2.0;0.3;0.0;1.8;0.1;0.0;1.1
"Kad ali prha v stanovanju";"Starost 18-64";"Spol - SKUPAJ";1.5;0.9;6.8;0.9;0.6;4.1;0.8;0.5;3.6;0.7;0.4;3.8;0.6;0.2;3.6;0.5;0.2;3.1;0.5;0.3;2.0;0.4;0.2;1.5;0.5;0.2;2.4;0.5;0.2;2.4;0.4;0.2;2.0;0.4;0.1;2.1
"Kad ali prha v stanovanju";"Starost 18-64";"Moški";1.9;1.2;7.7;1.0;0.6;4.7;1.0;0.6;4.6;1.0;0.4;5.7;0.7;0.3;4.7;0.6;0.2;3.7;0.6;0.4;2.3;0.5;0.3;2.1;0.7;0.3;3.2;0.6;0.2;3.4;0.5;0.2;2.6;0.5;0.2;2.6
"Kad ali prha v stanovanju";"Starost 18-64";"Ženske";1.2;0.7;5.8;0.7;0.5;3.4;0.5;0.3;2.5;0.5;0.3;1.6;0.4;0.2;2.6;0.4;0.1;2.5;0.4;0.2;1.6;0.3;0.2;0.9;0.3;0.2;1.4;0.4;0.2;1.4;0.3;0.1;1.5;0.2;0.1;1.5
"Kad ali prha v stanovanju";"Starost 65+";"Spol - SKUPAJ";3.5;1.6;10.8;3.0;1.1;10.6;2.3;0.8;8.7;2.1;0.7;7.4;1.4;0.5;5.0;1.1;0.2;4.7;1.5;0.3;6.3;1.6;0.2;7.5;1.4;0.2;6.2;1.7;0.5;7.7;0.9;0.3;3.9;0.8;0.3;2.7
"Kad ali prha v stanovanju";"Starost 65+";"Moški";2.3;1.4;9.6;2.6;1.0;14.4;2.0;0.9;10.9;1.3;0.6;6.9;1.0;0.5;5.3;1.2;0.3;9.4;1.8;0.4;14.2;1.8;0.3;13.1;1.8;0.2;11.9;2.2;0.4;16.6;0.8;0.3;4.6;0.5;0.4;1.2
"Kad ali prha v stanovanju";"Starost 65+";"Ženske";4.2;1.8;11.1;3.2;1.1;9.5;2.5;0.6;8.1;2.6;0.7;7.6;1.6;0.5;4.9;1.1;0.2;3.6;1.3;0.2;4.3;1.5;0.1;5.7;1.2;0.2;4.1;1.4;0.6;4.6;1.0;0.3;3.6;1.0;0.3;3.2
"Stranišèe na izplakovanje za lastno uporabo";"Starostne skupine - SKUPAJ";"Spol - SKUPAJ";1.7;1.0;7.0;1.2;0.7;5.5;1.1;0.5;5.5;0.8;0.4;4.1;0.6;0.2;3.4;0.4;0.1;2.5;0.5;0.2;2.4;0.4;0.1;2.3;0.5;0.2;2.3;0.6;0.2;2.5;0.3;0.2;1.4;0.3;0.1;1.7
"Stranišèe na izplakovanje za lastno uporabo";"Starostne skupine - SKUPAJ";"Moški";1.8;1.2;7.4;1.2;0.7;5.5;1.2;0.6;5.9;0.9;0.4;5.1;0.6;0.3;3.7;0.5;0.2;3.2;0.5;0.2;2.9;0.5;0.2;3.0;0.5;0.2;3.0;0.7;0.2;3.5;0.4;0.2;1.7;0.4;0.2;2.2
"Stranišèe na izplakovanje za lastno uporabo";"Starostne skupine - SKUPAJ";"Ženske";1.6;0.8;6.7;1.3;0.6;5.6;1.0;0.4;5.2;0.7;0.3;3.4;0.6;0.2;3.1;0.3;0.1;1.9;0.4;0.2;1.9;0.3;0.1;1.7;0.4;0.1;1.6;0.4;0.2;1.6;0.3;0.1;1.1;0.3;0.1;1.3
"Stranišèe na izplakovanje za lastno uporabo";"Starost 0-17";"Spol - SKUPAJ";1.1;0.5;5.5;0.9;0.5;4.0;0.9;0.1;6.5;0.3;0.1;1.8;0.3;0.0;2.3;0.2;0.0;1.3;0.4;0.1;1.7;0.1;0.1;0.6;0.3;0.1;1.6;0.5;0.2;2.0;0.3;0.0;2.1;0.1;0.1;0.6
